id,nama_property,lokasi,tipe,luas_m2,harga_sewa_bulan,fasilitas,jarak_ke_mrt_km,rating_review
588,Residence Thamrin A,Depok,1BR,35.5,3520000,"Keamanan 24 Jam, Kolam Renang, Parkir",10.45,3.3
589,Kost Eksklusif Kelapa Gading C,Jakarta Timur,1BR,36.6,4570000,"Gym, Laundry, Parkir, Taman Bermain",5.66,3.6
590,Suites Cikini II,Bekasi,1BR,32.6,5450000,"Akses Kartu, Keamanan 24 Jam, Laundry, Parkir, Taman Bermain",1.05,4.5
591,Residence Pluit I,Jakarta Pusat,3BR,66.3,13780000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Taman Bermain",9.13,3.9
592,Tower Tebet I,Bekasi,2BR,53.1,8640000,"AC, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir, Taman Bermain",0.96,4.9
593,Suites Green Bay B,Tangerang,2BR,53.4,6230000,"Gym, Kolam Renang, Laundry",11.85,3.4
594,Residence Tebet A,Tangerang,2BR,67.0,8010000,"Furnished, Gym, Kolam Renang, Laundry, Parkir, Taman Bermain",4.25,4.8
595,Apartemen Casablanca A,Depok,Studio,26.4,3790000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Parkir",3.21,4.3
596,Tower Cikini II,Tangerang,3BR,110.9,14790000,"Akses Kartu, Keamanan 24 Jam, Laundry, Taman Bermain",1.06,4.3
597,Tower Menteng I,Tangerang,2BR,65.7,8010000,"Furnished, Gym, Keamanan 24 Jam",11.1,4.4
598,Residence Menteng I,Jakarta Selatan,1BR,41.9,4250000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Minimarket",8.39,3.4
599,Kost Eksklusif Casablanca B,Jakarta Barat,3BR,101.9,8700000,"AC, Laundry, Parkir, Taman Bermain",2.49,3.2
600,Apartemen Casablanca B,Jakarta Barat,3BR,73.1,8820000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Kolam Renang, Minimarket",0.45,4.0
601,Tower Kelapa Gading C,Jakarta Selatan,3BR,104.2,20140000,"Akses Kartu, Furnished, Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",11.19,4.3
602,Apartemen Royal Mediterania A,Tangerang,Studio,29.7,4250000,"Keamanan 24 Jam, Laundry, Minimarket",9.69,4.7
603,Apartemen Alam Sutera A,Jakarta Utara,1BR,34.3,5050000,"Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir",7.94,4.9
604,Apartemen Bintaro C,Depok,3BR,80.2,10880000,"Furnished, Laundry, Minimarket",8.9,4.2
605,Residence Kelapa Gading B,Jakarta Pusat,Studio,19.5,5160000,"AC, Furnished, Gym, Keamanan 24 Jam, Minimarket, Parkir",8.11,3.3
606,Suites Casablanca B,Jakarta Barat,Studio,23.2,3930000,"AC, Furnished, Keamanan 24 Jam, Laundry, Parkir",2.01,4.8
607,Kost Eksklusif Grand Galaxy B,Bekasi,Studio,27.5,3170000,"Akses Kartu, Furnished, Laundry",2.76,3.4
608,Tower Bintaro II,Jakarta Barat,2BR,43.1,5360000,"Furnished, Gym, Keamanan 24 Jam, Laundry",8.91,4.5
609,Kost Eksklusif Kelapa Gading A,Jakarta Utara,Studio,25.1,2880000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Laundry, Taman Bermain",4.72,3.8
610,Kost Eksklusif Margonda C,Bekasi,2BR,45.1,8770000,"AC, Furnished, Gym, Keamanan 24 Jam, Kolam Renang, Minimarket",10.06,4.0
611,Tower Thamrin B,Jakarta Barat,2BR,74.9,7830000,"AC, Kolam Renang, Laundry, Minimarket",5.79,4.7
612,Suites Tebet C,Jakarta Timur,Studio,29.1,4050000,"AC, Akses Kartu, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",10.3,4.5
613,Tower Green Bay A,Tangerang,Studio,24.3,3070000,"Akses Kartu, Gym, Laundry, Minimarket",8.39,4.7
614,Apartemen Alam Sutera II,Jakarta Utara,3BR,107.6,11620000,"AC, Furnished, Gym, Keamanan 24 Jam, Laundry, Parkir",5.36,3.2
615,Apartemen Casablanca II,Jakarta Pusat,3BR,126.8,14250000,"Furnished, Keamanan 24 Jam, Minimarket",11.12,4.3
616,Suites Bintaro C,Tangerang,1BR,38.7,5300000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket",0.5,4.3
617,Apartemen Green Bay B,Bekasi,2BR,40.4,5470000,"AC, Furnished, Kolam Renang, Minimarket",1.55,3.8
618,Kost Eksklusif Cikini I,Tangerang,2BR,60.0,6700000,"AC, Kolam Renang, Laundry, Taman Bermain",0.86,3.1
619,Tower Casablanca A,Jakarta Barat,1BR,44.4,5740000,"Akses Kartu, Kolam Renang, Laundry, Minimarket",2.25,3.3
620,Tower Permata B,Jakarta Timur,1BR,29.5,4140000,"AC, Akses Kartu, Gym",9.06,3.8
621,Kost Eksklusif Cikini B,Jakarta Selatan,1BR,33.1,7650000,"AC, Furnished, Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",9.42,4.4
622,Tower Pluit B,Jakarta Selatan,1BR,28.6,5280000,"AC, Akses Kartu, Parkir, Taman Bermain",2.66,4.5
623,Suites Thamrin II,Tangerang,Studio,24.6,3020000,"Gym, Keamanan 24 Jam, Laundry, Minimarket",7.83,3.4
624,Suites Bintaro A,Jakarta Utara,1BR,40.1,4910000,"Furnished, Keamanan 24 Jam, Laundry, Taman Bermain",7.81,4.9
625,Residence Kelapa Gading C,Jakarta Timur,Studio,21.2,3560000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Laundry, Taman Bermain",8.24,3.0
626,Kost Eksklusif Alam Sutera II,Tangerang,1BR,34.4,3760000,"AC, Akses Kartu, Kolam Renang, Minimarket",11.12,4.7
627,Tower Sudirman II,Jakarta Utara,Studio,28.8,2840000,"AC, Furnished, Gym, Keamanan 24 Jam, Laundry, Parkir",11.36,4.4
628,Tower Pondok Indah II,Jakarta Pusat,1BR,34.4,6460000,"Gym, Laundry, Minimarket, Parkir, Taman Bermain",8.73,3.6
629,Apartemen Kuningan II,Tangerang,1BR,33.2,5640000,"Akses Kartu, Furnished, Gym, Kolam Renang, Minimarket, Taman Bermain",11.37,3.1
630,Apartemen Royal Mediterania B,Jakarta Utara,3BR,117.5,7090000,"Gym, Minimarket, Parkir, Taman Bermain",11.39,4.8
631,Kost Eksklusif Kelapa Gading B,Jakarta Selatan,3BR,110.7,16230000,"Keamanan 24 Jam, Minimarket, Taman Bermain",8.89,3.2
632,Tower Cervino I,Jakarta Pusat,2BR,73.3,8540000,"Furnished, Gym, Parkir",4.54,3.6
633,Apartemen Alam Sutera A,Jakarta Timur,Studio,26.9,3640000,"AC, Akses Kartu, Kolam Renang, Minimarket, Parkir",2.69,4.2
634,Suites Tebet B,Depok,2BR,52.4,5020000,"Furnished, Kolam Renang, Laundry, Minimarket",10.69,3.2
635,Tower Grand Galaxy B,Jakarta Pusat,3BR,73.0,13420000,"Furnished, Keamanan 24 Jam, Laundry, Minimarket",7.91,4.1
636,Residence Casablanca B,Jakarta Utara,Studio,29.9,3810000,"Furnished, Keamanan 24 Jam, Kolam Renang, Laundry",5.33,3.6
637,Residence Margonda I,Jakarta Pusat,3BR,92.4,11640000,"AC, Gym, Laundry, Minimarket, Parkir, Taman Bermain",8.03,4.0
638,Suites Royal Mediterania A,Tangerang,1BR,29.9,4390000,"Furnished, Kolam Renang, Parkir",0.35,3.9
639,Apartemen Pluit B,Jakarta Utara,2BR,57.0,8040000,"Akses Kartu, Keamanan 24 Jam, Parkir, Taman Bermain",3.05,4.3
640,Residence Bintaro A,Tangerang,1BR,36.1,5460000,"Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",1.33,3.5
641,Residence Kelapa Gading C,Jakarta Timur,1BR,35.2,5040000,"AC, Laundry, Taman Bermain",1.18,3.9
642,Apartemen Sudirman A,Jakarta Selatan,3BR,106.9,11830000,"Furnished, Gym, Kolam Renang, Laundry, Parkir",3.44,4.3
643,Apartemen Casablanca A,Depok,1BR,32.9,4200000,"AC, Furnished, Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",7.32,4.4
644,Apartemen Casablanca B,Jakarta Pusat,2BR,52.6,11110000,"AC, Akses Kartu, Minimarket, Parkir, Taman Bermain",7.11,4.3
645,Kost Eksklusif Royal Mediterania C,Jakarta Barat,Studio,25.0,4320000,"Gym, Kolam Renang, Minimarket, Parkir",7.89,3.6
646,Suites Senayan I,Bekasi,1BR,37.1,3880000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Parkir",1.62,3.8
647,Suites Cikini I,Jakarta Selatan,1BR,38.2,7750000,"Akses Kartu, Gym, Laundry, Minimarket",0.64,4.1
648,Tower Kelapa Gading C,Tangerang,3BR,104.5,10450000,"AC, Akses Kartu, Minimarket",0.14,4.4
649,Apartemen Kelapa Gading B,Jakarta Barat,1BR,31.8,4830000,"AC, Keamanan 24 Jam, Laundry, Taman Bermain",3.57,4.1
650,Apartemen Alam Sutera B,Jakarta Selatan,2BR,62.1,11240000,"AC, Keamanan 24 Jam, Kolam Renang, Laundry, Taman Bermain",11.36,4.5
651,Suites Kelapa Gading C,Jakarta Utara,1BR,32.4,3540000,"AC, Laundry, Parkir",7.92,3.5
652,Suites Kuningan B,Tangerang,1BR,35.6,5320000,"Akses Kartu, Gym, Minimarket, Taman Bermain",5.26,3.4
653,Apartemen Grand Galaxy B,Bekasi,1BR,39.0,3550000,"Gym, Laundry, Minimarket, Parkir",2.04,3.9
654,Suites Sudirman A,Tangerang,Studio,26.7,2770000,"Gym, Laundry, Taman Bermain",9.03,4.7
655,Apartemen Menteng B,Jakarta Selatan,1BR,32.2,4560000,"Furnished, Gym, Kolam Renang",7.57,4.0
656,Apartemen Permata C,Bekasi,1BR,33.2,4700000,"Akses Kartu, Gym, Kolam Renang, Laundry, Minimarket",3.0,3.2
657,Apartemen Tebet B,Tangerang,1BR,28.0,4060000,"AC, Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Parkir",2.8,5.0
658,Residence Kuningan I,Jakarta Timur,Studio,29.5,3060000,"AC, Furnished, Gym, Kolam Renang, Taman Bermain",1.01,4.1
659,Tower Senayan A,Jakarta Pusat,3BR,74.8,15550000,"AC, Furnished, Gym, Keamanan 24 Jam, Minimarket",9.83,4.7
660,Apartemen Margonda B,Jakarta Pusat,1BR,33.4,6020000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Laundry, Taman Bermain",9.45,3.4
661,Suites Grand Galaxy II,Tangerang,2BR,51.2,6700000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Laundry, Taman Bermain",8.35,4.0
662,Residence Sudirman C,Bekasi,1BR,34.5,4950000,"Furnished, Gym, Kolam Renang, Parkir",5.12,4.1
663,Kost Eksklusif Grand Galaxy B,Jakarta Pusat,Studio,18.7,4380000,"AC, Keamanan 24 Jam, Laundry, Minimarket",10.41,3.4
664,Apartemen Casablanca II,Jakarta Timur,Studio,27.0,2730000,"Keamanan 24 Jam, Kolam Renang, Laundry, Taman Bermain",8.38,3.1
665,Tower Tebet I,Jakarta Pusat,Studio,19.8,4290000,"AC, Furnished, Gym, Keamanan 24 Jam, Minimarket, Taman Bermain",0.25,4.4
666,Apartemen Bintaro I,Bekasi,Studio,21.4,2810000,"Akses Kartu, Keamanan 24 Jam, Taman Bermain",10.59,4.4
667,Residence Bintaro II,Bekasi,2BR,72.2,7010000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Minimarket, Parkir",8.54,3.1
668,Suites Bintaro B,Tangerang,1BR,42.0,5940000,"Furnished, Minimarket, Taman Bermain",7.3,3.1
669,Apartemen Senayan B,Depok,3BR,77.7,7870000,"AC, Gym, Kolam Renang, Minimarket, Parkir",1.03,4.2
670,Apartemen Margonda A,Jakarta Utara,1BR,37.4,6000000,"Kolam Renang, Minimarket, Taman Bermain",0.49,4.9
671,Apartemen Cikini B,Jakarta Selatan,2BR,66.3,11490000,"AC, Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Parkir",3.84,3.0
672,Residence Menteng B,Tangerang,3BR,103.1,13820000,"Akses Kartu, Furnished, Gym, Minimarket",3.55,4.5
673,Apartemen Thamrin II,Jakarta Pusat,2BR,55.7,6950000,"AC, Furnished, Gym, Kolam Renang, Laundry, Parkir",7.52,4.3
674,Tower Kuningan C,Bekasi,Studio,27.7,2790000,"Gym, Minimarket, Taman Bermain",10.46,3.3
675,Apartemen Green Bay I,Jakarta Utara,2BR,52.4,5280000,"AC, Gym, Laundry, Minimarket, Parkir, Taman Bermain",8.56,3.1
676,Kost Eksklusif Pondok Indah C,Jakarta Utara,3BR,91.6,11960000,"Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",8.2,4.8
677,Residence Bintaro I,Jakarta Selatan,Studio,26.9,5040000,"Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket, Taman Bermain",0.19,4.3
678,Suites Grand Galaxy B,Depok,3BR,95.5,11280000,"Gym, Keamanan 24 Jam, Taman Bermain",9.84,3.8
679,Suites Thamrin B,Jakarta Barat,2BR,52.0,7420000,"AC, Akses Kartu, Gym, Kolam Renang, Minimarket, Taman Bermain",2.63,3.6
680,Suites Pluit C,Jakarta Selatan,3BR,69.1,18290000,"Kolam Renang, Laundry, Parkir, Taman Bermain",11.74,4.3
681,Apartemen Senayan I,Jakarta Barat,1BR,29.2,4510000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Laundry, Parkir",3.65,3.7
682,Apartemen Permata II,Jakarta Utara,1BR,31.4,5850000,"Furnished, Laundry, Minimarket, Taman Bermain",5.83,3.4
683,Tower Casablanca I,Jakarta Pusat,2BR,63.2,11170000,"Gym, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir",9.92,3.5
684,Suites Permata B,Jakarta Selatan,3BR,126.3,18390000,"Akses Kartu, Kolam Renang, Parkir",7.7,4.2
685,Tower Cervino II,Jakarta Timur,2BR,47.3,5760000,"Furnished, Kolam Renang, Taman Bermain",8.19,4.6
686,Suites Grand Galaxy C,Jakarta Barat,3BR,107.2,10650000,"Akses Kartu, Furnished, Gym, Kolam Renang, Laundry",4.98,3.4
687,Apartemen Sudirman II,Jakarta Pusat,3BR,89.8,18410000,"Akses Kartu, Gym, Kolam Renang, Laundry, Taman Bermain",5.31,4.9
688,Residence Pondok Indah II,Jakarta Barat,3BR,113.7,11990000,"AC, Akses Kartu, Gym, Kolam Renang, Laundry, Parkir",6.58,3.8
689,Tower Pluit C,Jakarta Timur,3BR,126.8,9800000,"AC, Gym, Keamanan 24 Jam, Kolam Renang, Laundry, Taman Bermain",9.55,3.6
690,Suites Kelapa Gading II,Tangerang,1BR,28.1,6650000,"AC, Akses Kartu, Furnished, Gym, Taman Bermain",0.49,4.9
691,Kost Eksklusif Kuningan I,Jakarta Timur,3BR,118.9,13410000,"Akses Kartu, Keamanan 24 Jam, Laundry, Taman Bermain",6.98,3.5
692,Apartemen Sudirman I,Jakarta Pusat,Studio,25.6,5570000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Kolam Renang",7.57,3.0
693,Residence Kelapa Gading B,Jakarta Pusat,Studio,25.4,5000000,"Furnished, Keamanan 24 Jam, Minimarket",6.9,3.6
694,Kost Eksklusif Casablanca A,Jakarta Timur,3BR,115.1,12270000,"Akses Kartu, Gym, Kolam Renang, Parkir",3.37,3.3
695,Apartemen Grand Galaxy A,Jakarta Utara,1BR,29.6,4740000,"Gym, Laundry, Minimarket, Taman Bermain",4.4,4.0
696,Kost Eksklusif Kemang A,Jakarta Barat,1BR,39.7,4440000,"AC, Gym, Keamanan 24 Jam, Kolam Renang, Minimarket, Taman Bermain",3.83,5.0
697,Kost Eksklusif Cikini B,Depok,3BR,129.7,14190000,"AC, Gym, Kolam Renang, Minimarket, Parkir",0.16,3.4
698,Suites Menteng A,Depok,Studio,28.8,2560000,"AC, Akses Kartu, Keamanan 24 Jam",1.75,3.7
699,Suites Casablanca II,Jakarta Utara,3BR,113.4,10970000,"AC, Furnished, Gym, Keamanan 24 Jam, Minimarket, Parkir",6.2,4.6
700,Suites Grand Galaxy B,Jakarta Utara,1BR,41.5,5880000,"AC, Akses Kartu, Furnished, Kolam Renang, Laundry, Taman Bermain",5.91,4.1
701,Kost Eksklusif Alam Sutera I,Depok,Studio,23.4,4280000,"AC, Furnished, Laundry, Minimarket, Taman Bermain",11.5,3.1
702,Tower Sudirman C,Jakarta Pusat,2BR,55.0,7170000,"Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Taman Bermain",2.66,3.4
703,Kost Eksklusif Senayan II,Depok,1BR,37.5,4460000,"AC, Akses Kartu, Furnished, Gym",7.26,4.8
704,Suites Kuningan II,Tangerang,3BR,85.7,9560000,"AC, Akses Kartu, Furnished, Kolam Renang, Minimarket, Parkir",2.45,3.7
705,Suites Kemang II,Tangerang,1BR,37.8,4210000,"AC, Keamanan 24 Jam, Minimarket",7.76,4.8
706,Kost Eksklusif Margonda I,Jakarta Selatan,2BR,62.6,6430000,"AC, Akses Kartu, Furnished, Kolam Renang, Parkir",9.65,4.2
707,Residence Kemang A,Tangerang,2BR,64.4,6820000,"Furnished, Gym, Kolam Renang",10.2,3.3
708,Apartemen Kemang C,Depok,3BR,79.7,7700000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Minimarket, Taman Bermain",8.72,3.2
709,Suites Pondok Indah A,Depok,3BR,82.5,8360000,"AC, Furnished, Gym, Keamanan 24 Jam, Laundry, Taman Bermain",1.74,4.0
710,Tower Permata B,Jakarta Timur,3BR,108.0,14810000,"AC, Gym, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir",3.93,4.3
711,Apartemen Margonda B,Jakarta Timur,Studio,18.9,3490000,"Laundry, Minimarket, Parkir, Taman Bermain",2.63,4.6
712,Suites Pondok Indah II,Depok,2BR,64.8,7620000,"Furnished, Keamanan 24 Jam, Parkir",10.19,4.0
713,Apartemen Kelapa Gading A,Tangerang,1BR,29.2,4560000,"Gym, Keamanan 24 Jam, Minimarket",8.27,4.8
714,Residence Bintaro II,Jakarta Pusat,2BR,41.0,9870000,"Furnished, Laundry, Parkir",3.26,3.9
715,Tower Cikini II,Depok,Studio,23.3,3850000,"AC, Akses Kartu, Gym, Minimarket, Parkir, Taman Bermain",0.68,4.0
716,Tower Kelapa Gading A,Tangerang,Studio,26.2,3790000,"AC, Akses Kartu, Gym, Kolam Renang",11.51,4.1
717,Residence Alam Sutera C,Jakarta Utara,1BR,43.0,5250000,"AC, Akses Kartu, Furnished, Gym, Parkir, Taman Bermain",4.91,4.4
718,Residence Kuningan C,Jakarta Utara,Studio,19.1,3510000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir",8.44,4.8
719,Suites Green Bay A,Jakarta Pusat,Studio,26.0,4040000,"Furnished, Keamanan 24 Jam, Kolam Renang",11.7,4.0
720,Apartemen Casablanca C,Jakarta Timur,3BR,72.1,13550000,"Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Parkir",6.85,4.6
721,Tower Cikini II,Depok,3BR,96.9,9810000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket",6.59,4.0
722,Kost Eksklusif Grand Galaxy C,Jakarta Utara,Studio,19.8,3320000,"Furnished, Gym, Kolam Renang, Minimarket",2.72,3.4
723,Tower Margonda I,Jakarta Barat,1BR,43.7,4440000,"Akses Kartu, Furnished, Keamanan 24 Jam, Minimarket, Taman Bermain",1.38,4.2
724,Tower Casablanca A,Jakarta Utara,2BR,46.7,7320000,"Furnished, Laundry, Minimarket",8.45,4.0
725,Tower Sudirman I,Jakarta Pusat,3BR,109.3,14070000,"AC, Kolam Renang, Minimarket, Taman Bermain",6.74,3.1
726,Tower Cervino II,Jakarta Utara,Studio,18.6,3110000,"AC, Keamanan 24 Jam, Kolam Renang",5.22,4.3
727,Suites Alam Sutera B,Jakarta Pusat,Studio,26.6,3750000,"AC, Kolam Renang, Parkir",5.24,4.6
728,Tower Green Bay B,Tangerang,3BR,90.9,14230000,"AC, Akses Kartu, Keamanan 24 Jam, Parkir, Taman Bermain",10.73,4.4
729,Suites Grand Galaxy A,Jakarta Timur,2BR,44.7,7220000,"AC, Keamanan 24 Jam, Minimarket",3.68,3.3
730,Apartemen Permata A,Bekasi,2BR,57.6,7740000,"Akses Kartu, Laundry, Minimarket, Parkir, Taman Bermain",4.35,4.9
731,Kost Eksklusif Permata II,Tangerang,Studio,27.1,3730000,"Akses Kartu, Furnished, Gym, Taman Bermain",3.7,4.8
732,Tower Royal Mediterania A,Jakarta Selatan,3BR,73.2,15980000,"Furnished, Gym, Keamanan 24 Jam, Kolam Renang, Minimarket, Taman Bermain",9.18,4.6
733,Kost Eksklusif Tebet B,Bekasi,2BR,70.3,5490000,"Akses Kartu, Keamanan 24 Jam, Parkir",7.06,3.4
734,Kost Eksklusif Casablanca II,Jakarta Pusat,2BR,62.0,10930000,"Akses Kartu, Gym, Kolam Renang, Taman Bermain",9.69,3.2
735,Suites Kuningan B,Jakarta Timur,Studio,23.7,4170000,"AC, Gym, Laundry",5.38,4.7
736,Residence Cikini II,Jakarta Utara,3BR,120.9,11940000,"Keamanan 24 Jam, Parkir, Taman Bermain",5.25,3.4
737,Suites Grand Galaxy I,Bekasi,2BR,50.1,5400000,"AC, Akses Kartu, Furnished, Kolam Renang, Laundry",7.11,3.3
738,Tower Thamrin I,Jakarta Utara,3BR,72.8,10120000,"Kolam Renang, Minimarket, Taman Bermain",7.01,4.8
739,Apartemen Kuningan B,Bekasi,2BR,40.3,5630000,"AC, Akses Kartu, Furnished, Laundry",6.06,3.7
740,Kost Eksklusif Kuningan II,Depok,3BR,111.5,13290000,"Gym, Laundry, Minimarket, Parkir, Taman Bermain",3.41,4.4
741,Residence Casablanca A,Jakarta Utara,1BR,39.9,4970000,"Akses Kartu, Furnished, Gym, Kolam Renang, Laundry, Taman Bermain",7.01,4.0
742,Suites Senayan A,Bekasi,2BR,66.6,8930000,"Gym, Keamanan 24 Jam, Laundry, Minimarket",9.72,4.2
743,Suites Bintaro B,Jakarta Barat,Studio,28.2,2650000,"Furnished, Gym, Keamanan 24 Jam",9.18,5.0
744,Kost Eksklusif Sudirman A,Jakarta Timur,1BR,32.3,4590000,"Keamanan 24 Jam, Kolam Renang, Laundry, Parkir",3.5,3.4
745,Kost Eksklusif Permata B,Jakarta Pusat,Studio,22.3,5070000,"AC, Furnished, Keamanan 24 Jam, Minimarket, Parkir, Taman Bermain",0.96,4.6
746,Suites Kelapa Gading A,Bekasi,3BR,105.7,13990000,"AC, Akses Kartu, Gym, Kolam Renang",6.87,4.2
747,Tower Senayan II,Depok,Studio,20.7,4380000,"Furnished, Gym, Laundry, Minimarket, Taman Bermain",11.08,4.2
748,Residence Margonda A,Jakarta Utara,3BR,105.2,11370000,"AC, Akses Kartu, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir",10.71,3.3
749,Kost Eksklusif Royal Mediterania A,Depok,Studio,20.8,2650000,"Furnished, Gym, Laundry",11.38,4.8
750,Apartemen Kemang A,Bekasi,1BR,32.6,4330000,"AC, Gym, Laundry, Minimarket, Taman Bermain",0.52,4.5
751,Suites Grand Galaxy II,Jakarta Timur,3BR,109.3,12900000,"Keamanan 24 Jam, Laundry, Taman Bermain",6.67,3.3
752,Residence Senayan II,Bekasi,Studio,28.8,4470000,"Furnished, Gym, Kolam Renang, Laundry",4.48,3.0
753,Suites Kuningan C,Tangerang,Studio,29.9,2530000,"Gym, Keamanan 24 Jam, Kolam Renang",8.67,3.1
754,Kost Eksklusif Menteng I,Depok,1BR,45.0,3820000,"AC, Gym, Taman Bermain",4.83,4.4
755,Kost Eksklusif Cikini A,Depok,1BR,35.5,4260000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Parkir",4.47,3.1
756,Tower Thamrin A,Tangerang,3BR,83.2,8630000,"AC, Akses Kartu, Kolam Renang, Parkir",1.73,5.0
757,Apartemen Pluit II,Bekasi,3BR,126.9,7170000,"AC, Akses Kartu, Kolam Renang, Laundry, Taman Bermain",10.05,3.8
758,Apartemen Royal Mediterania C,Jakarta Selatan,3BR,90.0,9130000,"AC, Akses Kartu, Keamanan 24 Jam, Kolam Renang, Minimarket, Taman Bermain",2.29,4.8
759,Kost Eksklusif Pondok Indah I,Jakarta Utara,1BR,40.9,4350000,"AC, Gym, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir",9.97,4.1
760,Tower Senayan B,Jakarta Utara,1BR,44.3,4670000,"AC, Keamanan 24 Jam, Kolam Renang, Laundry",11.91,4.5
761,Tower Pluit B,Jakarta Utara,2BR,60.0,5150000,"AC, Gym, Keamanan 24 Jam, Kolam Renang, Taman Bermain",3.36,3.9
762,Kost Eksklusif Permata C,Jakarta Selatan,3BR,65.6,9280000,"Gym, Keamanan 24 Jam, Kolam Renang, Laundry",7.69,4.9
763,Residence Casablanca A,Bekasi,1BR,32.4,5470000,"AC, Gym, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",3.19,3.4
764,Apartemen Royal Mediterania B,Bekasi,2BR,41.5,9610000,"AC, Furnished, Kolam Renang, Minimarket, Taman Bermain",0.82,3.7
765,Apartemen Margonda II,Jakarta Barat,3BR,72.4,7620000,"Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Taman Bermain",2.53,4.6
766,Tower Thamrin II,Depok,3BR,123.3,10000000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Minimarket, Taman Bermain",11.32,3.1
767,Residence Bintaro A,Jakarta Timur,2BR,57.9,8120000,"Akses Kartu, Furnished, Kolam Renang, Laundry, Parkir",6.15,4.9
768,Tower Pluit B,Jakarta Timur,3BR,100.0,7970000,"Akses Kartu, Minimarket, Taman Bermain",10.55,4.7
769,Residence Pondok Indah I,Jakarta Utara,1BR,33.6,5500000,"Akses Kartu, Furnished, Gym, Minimarket",11.73,3.7
770,Kost Eksklusif Thamrin II,Depok,Studio,29.0,3810000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Parkir",7.3,3.5
771,Suites Sudirman B,Jakarta Utara,2BR,51.0,5330000,"Gym, Minimarket, Parkir, Taman Bermain",5.11,3.2
772,Tower Thamrin I,Jakarta Utara,3BR,113.3,9560000,"Gym, Keamanan 24 Jam, Laundry, Parkir",0.51,4.4
773,Suites Grand Galaxy I,Jakarta Timur,2BR,44.2,8590000,"Furnished, Gym, Kolam Renang",10.79,4.5
774,Suites Bintaro C,Tangerang,2BR,66.5,7800000,"Furnished, Keamanan 24 Jam, Kolam Renang",8.83,3.9
775,Apartemen Menteng I,Jakarta Utara,Studio,20.8,4190000,"AC, Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Laundry",0.67,4.0
776,Apartemen Kelapa Gading C,Depok,Studio,22.2,2830000,"AC, Keamanan 24 Jam, Laundry, Minimarket, Parkir, Taman Bermain",3.53,3.3
777,Residence Cervino II,Jakarta Timur,1BR,28.5,5760000,"Keamanan 24 Jam, Kolam Renang, Minimarket, Taman Bermain",11.52,3.9
778,Tower Senayan B,Bekasi,1BR,42.1,4240000,"Laundry, Minimarket, Taman Bermain",1.4,5.0
779,Tower Pondok Indah II,Jakarta Barat,2BR,68.1,7980000,"Furnished, Keamanan 24 Jam, Taman Bermain",2.75,4.3
780,Apartemen Kelapa Gading B,Jakarta Barat,2BR,71.2,5150000,"Akses Kartu, Furnished, Kolam Renang, Laundry, Parkir",1.3,4.2
781,Residence Sudirman I,Jakarta Timur,1BR,32.5,3880000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",9.79,3.1
